Person1,Image1,Person2,Image2,Similarity
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_47,Webcam_02.jpg,0.54
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_47,Webcam_03.jpg,0.52
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_53,ID.jpg,0.5
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_53,Passport.jpg,0.5
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_53,Phone_indoor_02.jpg,0.63
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_53,Phone_outdoor_01.jpg,0.61
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_53,Webcam_01.jpg,0.5
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_53,Webcam_02.jpg,0.62
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_53,Webcam_03.jpg,0.49
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_36,Passport_1.jpg,0.57
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_36,Passport_2.jpg,0.54
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_36,Phone_indoor_01.jpg,0.46
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_36,Phone_indoor_02.jpg,0.65
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_36,Phone_outdoor_02.jpg,0.47
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_36,Webcam_01.jpg,0.66
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_36,Webcam_02.jpg,0.57
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_36,Webcam_03.jpg,0.56
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_37,Passport_1.jpg,0.65
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_37,Passport_2.jpg,0.58
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_37,Phone_indoor_01.jpg,0.56
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_37,Phone_indoor_02.jpg,0.58
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_37,Phone_outdoor_02.jpg,0.43
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_37,Webcam_01.jpg,0.5
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_37,Webcam_02.jpg,0.55
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_37,Webcam_03.jpg,0.51
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_38,Passport_1.jpg,0.58
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_38,Passport_2.jpg,0.52
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_38,Phone_indoor_01.jpg,0.48
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_38,Phone_outdoor_01.jpg,0.56
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_38,Phone_outdoor_02.jpg,0.54
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_38,Webcam_01.jpg,0.52
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_38,Webcam_02.jpg,0.51
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_38,Webcam_03.jpg,0.45
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_53,Webcam_01.jpg,0.57
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_53,Webcam_03.jpg,0.61
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_53,Webcam_04.jpg,0.47
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_56,Passport_1.jpg,0.63
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_56,Phone_indoor_01.jpg,0.57
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_56,Phone_outdoor_01.jpg,0.53
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_56,Phone_outdoor_02.jpg,0.52
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_56,Webcam_01.jpg,0.49
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_male_56,Webcam_02.jpg,0.56
